Id,CityName,State,Population,lat,lon
165,Cuyahoga Falls,Ohio,49267,41.1339449,-81.4845585
166,Malden,Massachusetts,60509,42.4250964,-71.066163
167,Allen,Texas,92020,33.1031744,-96.6705503
168,Tucson,Arizona,526116,32.2217429,-110.926479
169,Franklin,Tennessee,68886,35.9250637,-86.8688899
170,Shakopee,Minnesota,39167,44.7973962,-93.5272861
171,Jacksonville,Florida,842583,30.3321838,-81.655651
172,Atlantic City,New Jersey,39551,39.3642834,-74.4229266
173,Erie,Pennsylvania,100671,42.1292241,-80.085059
174,Merced,California,81102,37.3021632,-120.4829677
175,Abilene,Texas,120099,32.4487364,-99.7331439
176,Yorba Linda,California,67032,33.8886259,-117.8131125
177,Greenville,South Carolina,61397,34.8526176,-82.3940104
178,Huntersville,North Carolina,50458,35.410694,-80.8428504
179,St. Clair Shores,Michigan,60070,42.4974085,-82.8963604
180,Harrisburg,Pennsylvania,49188,40.2731911,-76.8867008
181,San Buenaventura (Ventura),California,108817,34.274646,-119.2290316
182,Fremont,California,224922,37.5482697,-121.9885719
183,Pueblo,Colorado,108249,38.2544472,-104.6091409
184,Chelsea,Massachusetts,37670,42.3917638,-71.0328284
185,Belleville,Illinois,42895,38.5200504,-89.9839935
186,Minneapolis,Minnesota,400070,44.977753,-93.2650108
187,Bartlett,Tennessee,58226,35.2045328,-89.8739753
188,Wichita Falls,Texas,104898,33.9137085,-98.4933873
189,Missouri City,Texas,70185,29.6185669,-95.5377215
190,St. Louis,Missouri,318416,38.6270025,-90.1994042
191,Pharr,Texas,73790,26.1947962,-98.1836216
192,Albuquerque,New Mexico,556495,35.0853336,-106.6055534
193,Athens-Clarke County,Georgia,119980,33.9519347,-83.357567
194,South Jordan,Utah,59366,40.5621704,-111.929658
195,North Las Vegas,Nevada,226877,36.1988592,-115.1175013
196,Pomona,California,151348,34.055103,-117.7499909
197,Eastvale,California,55191,33.952463,-117.5848025
198,Grove City,Ohio,37490,39.8814519,-83.0929644
199,Lawrence,Kansas,90811,38.9716689,-95.2352501
200,Midland,Texas,123933,31.9973456,-102.0779146
201,Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276
202,Oro Valley,Arizona,41627,32.3909071,-110.966488
203,Mesa,Arizona,457587,33.4151843,-111.8314724
204,Norwalk,Connecticut,87776,41.117744,-73.4081575
205,Kentwood,Michigan,50233,42.8694731,-85.6447492
206,Brookfield,Wisconsin,37999,43.0605671,-88.1064787
207,Rockwall,Texas,40922,32.9312336,-96.4597089
208,Mishawaka,Indiana,47989,41.6619927,-86.1586156
209,Tustin,California,78327,33.7458511,-117.826166
210,St. Cloud,Minnesota,66297,45.5579451,-94.1632404
211,Passaic,New Jersey,70868,40.8567662,-74.1284764
212,Escondido,California,148738,33.1192068,-117.086421
213,San Bruno,California,42443,37.6304904,-122.4110835
214,Berkeley,California,116768,37.8715926,-122.272747
215,San Clemente,California,65040,33.4269728,-117.6119925
216,Lawton,Oklahoma,97151,34.6035669,-98.3959291
217,Eau Claire,Wisconsin,67545,44.811349,-91.4984941
218,Maricopa,Arizona,45508,33.0581063,-112.0476423
219,DeSoto,Texas,51483,32.5896998,-96.8570738
220,Fort Wayne,Indiana,256496,41.079273,-85.1393513
221,Shoreline,Washington,54790,47.7556531,-122.3415178
222,Medford,Massachusetts,57170,42.4184296,-71.1061639
223,La Habra,California,61653,33.9319578,-117.9461734
224,Albany,New York,98424,42.6525793,-73.7562317
225,Daly City,California,104739,37.6879241,-122.4702079
226,Taylor,Michigan,61817,42.240872,-83.2696509
227,Lynchburg,Virginia,78014,37.4137536,-79.1422464
228,Bowie,Maryland,56759,39.0067768,-76.7791365
229,Danbury,Connecticut,83684,41.394817,-73.4540111
230,Charlottesville,Virginia,44349,38.0293059,-78.4766781
231,Coral Gables,Florida,49631,25.72149,-80.2683838
232,Coeur d'Alene,Idaho,46402,47.6776832,-116.7804664
233,El Monte,California,115708,34.0686206,-118.0275667
234,Crystal Lake,Illinois,40388,42.2411344,-88.3161965
235,Danville,California,43341,37.8215929,-121.9999606
236,Goodyear,Arizona,72864,33.4353394,-112.3576567
237,Paterson,New Jersey,145948,40.9167654,-74.171811
238,Salem,Oregon,160614,44.9428975,-123.0350963
239,Kissimmee,Florida,65173,28.2919557,-81.407571
240,Saginaw,Michigan,50303,43.4194699,-83.9508068
241,Brownsville,Texas,181860,25.9017472,-97.4974838
242,Flower Mound,Texas,68609,33.0145673,-97.0969552
243,Grapevine,Texas,50195,32.9342919,-97.0780654
244,Edina,Minnesota,49376,44.8896866,-93.3499489
245,Detroit,Michigan,688701,42.331427,-83.0457538
246,Fairfield,Ohio,42635,39.3454673,-84.5603187
247,Mansfield,Texas,60872,32.5631924,-97.1416768
248,Rochester,New York,210358,43.16103,-77.6109219
249,Birmingham,Alabama,212113,33.5206608,-86.80249
250,Austin,Texas,885400,30.267153,-97.7430608
251,Santa Barbara,California,90412,34.4208305,-119.6981901
252,Addison,Illinois,37385,41.931696,-87.9889556
253,Rio Rancho,New Mexico,91956,35.2327544,-106.6630437
254,Normal,Illinois,54664,40.5142026,-88.9906312
255,Romeoville,Illinois,39650,41.6475306,-88.0895061
256,Coon Rapids,Minnesota,62103,45.1732394,-93.3030063
257,San Mateo,California,101128,37.5629917,-122.3255254
258,Orlando,Florida,255483,28.5383355,-81.3792365
259,Casper,Wyoming,59628,42.866632,-106.313081
260,Bedford,Texas,48592,32.844017,-97.1430671
261,Wilmington,North Carolina,112067,34.2257255,-77.9447102
262,Pinellas Park,Florida,49998,27.8428025,-82.6995443
263,North Miami Beach,Florida,43250,25.9331488,-80.1625463
264,Kansas City,Kansas,148483,39.114053,-94.6274636
265,Fitchburg,Massachusetts,40383,42.5834228,-71.8022955
266,Wheeling,Illinois,38015,42.1391927,-87.9289591
267,Newton,Massachusetts,87971,42.3370413,-71.2092214
268,North Miami,Florida,61007,25.8900949,-80.1867138
269,Norwich,Connecticut,40347,41.5242649,-72.0759105
270,Newark,New Jersey,278427,40.735657,-74.1723667
271,Alexandria,Louisiana,48426,31.3112936,-92.4451371
272,Blaine,Minnesota,60407,45.1607987,-93.2349489
273,Harlingen,Texas,65665,26.1906306,-97.6961026
274,Lompoc,California,43509,34.6391501,-120.4579409
275,Denton,Texas,123099,33.2148412,-97.1330683
276,Galveston,Texas,48733,29.3013479,-94.7976958
277,Greenwood,Indiana,53665,39.6136578,-86.1066526
278,Salinas,California,155662,36.6777372,-121.6555013
279,Miami Gardens,Florida,111378,25.9420377,-80.2456045
280,Huntington,West Virginia,49177,38.4192496,-82.445154
281,Laredo,Texas,248142,27.5305671,-99.4803241
282,Melbourne,Florida,77508,28.0836269,-80.6081089
283,Haltom City,Texas,43580,32.7995738,-97.2691817
284,Palm Bay,Florida,104898,28.0344621,-80.5886646
285,Wilson,North Carolina,49628,35.7212689,-77.9155395
286,Bountiful,Utah,43023,40.8893895,-111.880771
287,Ceres,California,46714,37.5949316,-120.9577098
288,Parma,Ohio,80429,41.4047742,-81.7229086
289,Rapid City,South Dakota,70812,44.0805434,-103.2310149
290,Bell Gardens,California,42889,33.9652918,-118.1514588
291,Commerce City,Colorado,49799,39.8083196,-104.9338675
292,Springfield,Massachusetts,153703,42.1014831,-72.589811
293,Fort Collins,Colorado,152061,40.5852602,-105.084423
294,San Leandro,California,87965,37.7249296,-122.1560768
295,Vista,California,96929,33.2000368,-117.2425355
296,Yonkers,New York,199766,40.9312099,-73.8987469
297,Cincinnati,Ohio,297517,39.1031182,-84.5120196
298,Hagerstown,Maryland,40612,39.6417629,-77.7199932
299,Sanford,Florida,56002,28.8028612,-81.269453
300,Union City,New Jersey,68247,40.6975898,-74.2631635
301,Toledo,Ohio,282313,41.6639383,-83.555212
302,Sierra Vista,Arizona,45129,31.5455001,-110.2772856
303,Newport News,Virginia,182020,37.0870821,-76.4730122
304,Hammond,Indiana,78967,41.5833688,-87.5000412
305,Buffalo Grove,Illinois,41778,42.1662831,-87.9631308
306,Sugar Land,Texas,83860,29.6196787,-95.6349463
307,Huntsville,Alabama,186254,34.7303688,-86.5861037
308,Lodi,California,63338,38.1341477,-121.2722194
309,Edmonds,Washington,40727,47.8106521,-122.3773552
310,Duncanville,Texas,39605,32.6518004,-96.9083366
311,Rocky Mount,North Carolina,56954,35.9382103,-77.7905339
312,Pontiac,Michigan,59887,42.6389216,-83.2910468
313,National City,California,59834,32.6781085,-117.0991967
314,Hayward,California,151574,37.6688205,-122.0807964
315,Niagara Falls,New York,49468,43.0962143,-79.0377388
316,Sparks,Nevada,93282,39.5349112,-119.7526886
317,Hanford,California,54686,36.3274502,-119.6456844
318,Cypress,California,49087,33.8169599,-118.0372852
319,Youngstown,Ohio,65184,41.0997803,-80.6495194
320,Madison,Alabama,45799,34.6992579,-86.7483318
321,Redlands,California,69999,34.0555693,-117.1825381
322,Cape Girardeau,Missouri,38816,37.3058839,-89.5181476
323,Nampa,Idaho,86518,43.5407172,-116.5634624
324,Washington,District of Columbia,646449,38.9071923,-77.0368707
325,Wheaton,Illinois,53648,41.8661403,-88.1070127
326,Lancaster,Texas,38071,32.5920798,-96.7561082
327,Rialto,California,101910,34.1064001,-117.3703235
328,Fargo,North Dakota,113658,46.8771863,-96.7898034
329,Peoria,Illinois,116513,40.6936488,-89.5889864
330,Omaha,Nebraska,434353,41.2523634,-95.9979883
331,Rancho Santa Margarita,California,49228,33.640855,-117.603104
332,Manhattan,Kansas,56143,39.1836082,-96.5716694
333,Palm Springs,California,46281,33.8302961,-116.5452921
334,San Diego,California,1355896,32.715738,-117.1610838
335,Santa Rosa,California,171990,38.440429,-122.7140548
336,Lowell,Massachusetts,108861,42.6334247,-71.3161718
337,Broken Arrow,Oklahoma,103500,36.060949,-95.7974526
338,Kent,Washington,124435,47.3809335,-122.2348431
339,Nashville,Tennessee,634464,36.1626638,-86.7816016
340,Hackensack,New Jersey,44113,40.8859325,-74.0434736
341,Broomfield,Colorado,59471,39.9205411,-105.0866504
342,Durham,North Carolina,245475,35.9940329,-78.898619
343,Wichita,Kansas,386552,37.688889,-97.336111
344,Cathedral City,California,52977,33.7805388,-116.4668036
345,Lakeville,Minnesota,58562,44.6496868,-93.24272
346,Elmhurst,Illinois,45556,41.8994744,-87.9403418
347,Weslaco,Texas,37093,26.1595194,-97.9908366
348,Greenfield,Wisconsin,37159,42.9614039,-88.0125865
349,Sunnyvale,California,147559,37.36883,-122.0363496
350,Santa Cruz,California,62864,36.9741171,-122.0307963
351,Kenosha,Wisconsin,99889,42.5847425,-87.8211854
352,State College,Pennsylvania,41757,40.7933949,-77.8600012
353,Mansfield,Ohio,46454,40.75839,-82.5154471
354,Quincy,Illinois,40915,39.9356016,-91.4098726
355,Pompano Beach,Florida,104410,26.2378597,-80.1247667
356,San Angelo,Texas,97492,31.4637723,-100.4370375
357,Bloomington,Illinois,78902,40.4842027,-88.9936873
358,Tracy,California,84691,37.7396513,-121.4252227
359,Spartanburg,South Carolina,37647,34.9495672,-81.9320482
360,Nashua,New Hampshire,87137,42.7653662,-71.467566
361,Macon,Georgia,89981,32.8406946,-83.6324022
362,Hempstead,New York,55361,40.7062128,-73.6187397
363,Camden,New Jersey,76903,39.9259463,-75.1196199
364,Palm Desert,California,50508,33.7222445,-116.3744556
365,Streamwood,Illinois,40351,42.0255827,-88.1784085
366,Chesapeake,Virginia,230571,36.7682088,-76.2874927
367,Dublin,Ohio,43607,40.0992294,-83.1140771
368,Camarillo,California,66086,34.2163937,-119.0376023
369,Muskegon,Michigan,37213,43.2341813,-86.2483921
370,Elizabeth,New Jersey,127558,40.6639916,-74.2107006
371,Anchorage,Alaska,300950,61.2180556,-149.9002778
372,Minot,North Dakota,46321,48.2329668,-101.2922906
373,Davie,Florida,96830,26.0764783,-80.2521157
374,McAllen,Texas,136639,26.2034071,-98.2300124
375,McKinney,Texas,148559,33.1972465,-96.6397822
376,Killeen,Texas,137147,31.1171194,-97.7277959
377,Findlay,Ohio,41512,41.04422,-83.6499321
378,Oakland,California,406253,37.8043637,-122.2711137
379,Mountain View,California,77846,37.3860517,-122.0838511
380,Lake Elsinore,California,57525,33.6680772,-117.3272615
381,Amarillo,Texas,196429,35.2219971,-101.8312969
382,Provo,Utah,116288,40.2338438,-111.6585337
383,Atlanta,Georgia,447841,33.7489954,-84.3879824
384,Monterey Park,California,61085,34.0625106,-118.1228476
385,Strongsville,Ohio,44730,41.3144966,-81.83569
386,Madera,California,63105,36.9613356,-120.0607176
387,Decatur,Illinois,74710,39.8403147,-88.9548001
388,Woonsocket,Rhode Island,41026,42.0028761,-71.5147839
389,Mobile,Alabama,194899,30.6953657,-88.0398912
390,Vallejo,California,118837,38.1040864,-122.2566367
391,Arcadia,California,57639,34.1397292,-118.0353449
392,Collierville,Tennessee,47333,35.042036,-89.6645266
393,Jefferson City,Missouri,43330,38.5767017,-92.1735164
394,Longview,Texas,81443,32.5007037,-94.7404891
395,Chandler,Arizona,249146,33.3061605,-111.8412502
396,Arvada,Colorado,111707,39.8027644,-105.0874842
397,Alhambra,California,84577,34.095287,-118.1270146
398,Kokomo,Indiana,56895,40.486427,-86.1336033
399,Oakland Park,Florida,43286,26.1723065,-80.1319893
400,Indianapolis,Indiana,843393,39.768403,-86.158068
401,Boynton Beach,Florida,71097,26.5317866,-80.0905465
402,Apache Junction,Arizona,37130,33.4150485,-111.5495777
403,Mount Prospect,Illinois,54771,42.0664167,-87.9372908
404,Cranston,Rhode Island,80566,41.7798226,-71.4372796
405,Lafayette,Indiana,70373,40.4167022,-86.8752869
406,Olathe,Kansas,131885,38.8813958,-94.8191285
407,Johns Creek,Georgia,82788,34.0289259,-84.198579
408,Greensboro,North Carolina,279639,36.0726354,-79.7919754
409,Kalamazoo,Michigan,75548,42.2917069,-85.5872286
410,Tigard,Oregon,50444,45.4312294,-122.7714861
411,Jacksonville,North Carolina,69079,34.7540524,-77.4302414
412,Citrus Heights,California,85285,38.7071247,-121.2810611
413,Tuscaloosa,Alabama,95334,33.2098407,-87.5691735
414,Ankeny,Iowa,51567,41.7317884,-93.6001278
415,Hawthorne,California,86199,33.9164032,-118.3525748
416,Hoover,Alabama,84126,33.4053867,-86.8113781
417,Delray Beach,Florida,64072,26.4614625,-80.0728201
418,Wellington,Florida,60202,26.6617635,-80.2683571
419,Bullhead City,Arizona,39383,35.1359386,-114.5285981
420,Weston,Florida,68388,26.1003654,-80.3997748
421,Troy,Michigan,82821,42.6064095,-83.1497751
422,New Rochelle,New York,79446,40.9114882,-73.7823549
423,Stockton,California,298118,37.9577016,-121.2907796
424,Royal Oak,Michigan,58946,42.4894801,-83.1446485
425,Titusville,Florida,44206,28.6122187,-80.8075537
426,Laguna Niguel,California,64652,33.5225261,-117.7075526
427,Spokane Valley,Washington,91113,47.6732281,-117.2393748
428,Costa Mesa,California,112174,33.6411316,-117.9186689
429,Grand Prairie,Texas,183372,32.7459645,-96.9977846
430,Portsmouth,Virginia,96205,36.8354258,-76.2982742
431,Lacey,Washington,44919,47.0342629,-122.8231915
432,Apex,North Carolina,42214,35.732652,-78.8502856
433,Sioux City,Iowa,82459,42.4999942,-96.4003069
434,Encinitas,California,61588,33.0369867,-117.2919818
435,Spanish Fork,Utah,36956,40.114955,-111.654923
436,Huntington Park,California,58879,33.9816812,-118.2250725
437,Eden Prairie,Minnesota,62603,44.8546856,-93.470786
438,Peoria,Arizona,162592,33.5805955,-112.2373779
439,Tempe,Arizona,168228,33.4255104,-111.9400054
440,Wilmington,Delaware,71525,39.7390721,-75.5397878
441,Taylorsville,Utah,60519,40.6677248,-111.9388258
442,Westland,Michigan,82578,42.324204,-83.400211
443,Mesquite,Texas,143484,32.7667955,-96.5991593
444,Burlington,North Carolina,51510,36.0956918,-79.4377991
445,Garland,Texas,234566,32.912624,-96.6388833
446,Richmond,California,107571,37.9357576,-122.3477486
447,Bismarck,North Dakota,67034,46.8083268,-100.7837392
448,Carson City,Nevada,54080,39.1637984,-119.7674034
449,Muskogee,Oklahoma,38863,35.7478769,-95.3696909
450,Augusta-Richmond County,Georgia,197350,33.4734978,-82.0105148
451,Fayetteville,North Carolina,204408,35.0526641,-78.8783585
452,Albany,Georgia,76185,31.5785074,-84.155741
453,Sayreville,New Jersey,44412,40.4594021,-74.360846
454,Newark,California,44096,37.5296593,-122.0402399
455,Diamond Bar,California,56449,34.0286226,-117.8103367
456,Decatur,Alabama,55816,34.6059253,-86.9833417
457,Chattanooga,Tennessee,173366,35.0456297,-85.3096801
458,Jeffersonville,Indiana,45929,38.2775702,-85.7371847
459,Bartlett,Illinois,41679,41.9950276,-88.1856301
460,Baldwin Park,California,76635,34.0852868,-117.9608978
461,Miami Beach,Florida,91026,25.790654,-80.1300455
462,Jackson,Tennessee,67685,35.6145169,-88.8139469
463,Port Arthur,Texas,54135,29.8849504,-93.939947
464,San Luis Obispo,California,46377,35.2827524,-120.6596156
465,Burleson,Texas,40714,32.5420821,-97.3208492
466,Newport Beach,California,87273,33.6189101,-117.9289469
467,Riverton,Utah,40921,40.521893,-111.9391023
468,Yakima,Washington,93257,46.6020711,-120.5058987
469,Dayton,Ohio,143355,39.7589478,-84.1916069
470,Gulfport,Mississippi,71012,30.3674198,-89.0928155
471,Long Beach,California,469428,33.7700504,-118.1937395
472,Chico,California,88077,39.7284944,-121.8374777
473,Hattiesburg,Mississippi,47556,31.3271189,-89.2903392
474,Eugene,Oregon,159190,44.0520691,-123.0867536
475,Colton,California,53243,34.0739016,-117.3136547
476,Montebello,California,63495,34.0165053,-118.1137535
477,Pleasanton,California,74110,37.6624312,-121.8746789
478,Everett,Washington,105370,47.9789848,-122.2020794
479,Hutchinson,Kansas,41889,38.0608445,-97.9297743
480,Fairfield,California,109320,38.2493581,-122.0399663
481,Avondale,Arizona,78822,33.4355977,-112.3496021
482,Euclid,Ohio,48139,41.5931049,-81.5267873
483,Battle Creek,Michigan,51848,42.3211522,-85.1797142
484,Bloomington,Minnesota,86319,44.840798,-93.2982799
485,Rock Island,Illinois,38877,41.5094771,-90.5787476
486,Beaverton,Oregon,93542,45.487062,-122.8037102
487,Kenner,Louisiana,66975,29.9940924,-90.2417434
488,Clovis,New Mexico,39508,34.4047987,-103.2052272
489,Troy,New York,49974,42.7284117,-73.6917851
490,Milpitas,California,69783,37.4323341,-121.8995741
491,Des Plaines,Illinois,58918,42.0333623,-87.8833991
492,Placentia,California,52206,33.8722371,-117.8703363
493,Taunton,Massachusetts,56069,41.900101,-71.0897674
494,Montclair,California,38027,34.0775104,-117.6897776
495,Johnson City,Tennessee,65123,36.3134397,-82.3534727
496,Savannah,Georgia,142772,32.0835407,-81.0998342
497,Warren,Ohio,40768,41.2375569,-80.8184166
498,Vancouver,Washington,167405,45.6387281,-122.6614861
499,Sunrise,Florida,90116,26.1669711,-80.256595
500,Muncie,Indiana,70316,40.1933767,-85.3863599
501,Lehi,Utah,54382,40.3916172,-111.8507662
502,San Francisco,California,837442,37.7749295,-122.4194155
503,Fontana,California,203003,34.0922335,-117.435048
504,Frisco,Texas,136791,33.1506744,-96.8236116
505,Chino Hills,California,76572,33.9898188,-117.7325848
506,Poway,California,49417,32.9628232,-117.0358646
507,Huber Heights,Ohio,38142,39.843947,-84.1246608
508,New Brunswick,New Jersey,55831,40.4862157,-74.4518188
509,Norfolk,Virginia,246139,36.8507689,-76.2858726
510,Hillsboro,Oregon,97368,45.5228939,-122.989827
511,San Jacinto,California,45851,33.7839084,-116.958635
512,Pensacola,Florida,52703,30.421309,-87.2169149
513,Hamilton,Ohio,62258,39.3995008,-84.5613355
514,Florence,South Carolina,37792,34.1954331,-79.7625625
515,San Bernardino,California,213708,34.1083449,-117.2897652
516,Peachtree Corners,Georgia,40059,33.9698929,-84.2214551
517,Victorville,California,121096,34.5362184,-117.2927641
518,Gary,Indiana,78450,41.5933696,-87.3464271
519,Casa Grande,Arizona,50111,32.8795022,-111.7573521
520,Morgan Hill,California,40836,37.1305012,-121.6543901
521,Dubuque,Iowa,58253,42.5005583,-90.6645718
522,Syracuse,New York,144669,43.0481221,-76.1474244
523,Clarksville,Tennessee,142357,36.5297706,-87.3594528
524,Lakeland,Florida,100710,28.0394654,-81.9498042
525,Valley Stream,New York,37659,40.6642699,-73.7084645
526,Dover,Delaware,37366,39.158168,-75.5243682
527,Moorhead,Minnesota,39398,46.8737648,-96.7678039
528,Culver City,California,39428,34.0211224,-118.3964665
529,Palatine,Illinois,69350,42.1103041,-88.03424
530,Seattle,Washington,652405,47.6062095,-122.3320708
531,Covington,Kentucky,40956,39.0836712,-84.5085536
532,Elk Grove,California,161007,38.4087993,-121.3716178
533,Shreveport,Louisiana,200327,32.5251516,-93.7501789
534,Ogden,Utah,84249,41.223,-111.9738304
535,Harrisonburg,Virginia,51395,38.4495688,-78.8689155
536,Inglewood,California,111542,33.9616801,-118.3531311
537,Pasadena,California,139731,34.1477849,-118.1445155
538,Lawrence,Massachusetts,77657,42.7070354,-71.1631137
539,Lake Oswego,Oregon,37610,45.4206749,-122.6706498
